idx,time,side,price
2,2024.06.24 01:02:00,SELL,2319.01
119,2024.06.24 02:59:00,BUY,2319.17
134,2024.06.24 03:14:00,SELL,2319.00
156,2024.06.24 03:36:00,BUY,2319.28
181,2024.06.24 04:01:00,SELL,2319.69
184,2024.06.24 04:04:00,BUY,2321.72
238,2024.06.24 04:58:00,SELL,2323.18
271,2024.06.24 05:31:00,BUY,2322.17
351,2024.06.24 06:51:00,SELL,2324.98
374,2024.06.24 07:14:00,BUY,2326.51
387,2024.06.24 07:27:00,SELL,2325.66
424,2024.06.24 08:04:00,BUY,2325.35
455,2024.06.24 08:35:00,SELL,2325.28
477,2024.06.24 08:57:00,BUY,2324.94
484,2024.06.24 09:04:00,SELL,2323.22
507,2024.06.24 09:27:00,BUY,2323.24
527,2024.06.24 09:47:00,SELL,2322.82
550,2024.06.24 10:10:00,BUY,2323.98
611,2024.06.24 11:11:00,SELL,2329.69
653,2024.06.24 11:53:00,BUY,2331.34
662,2024.06.24 12:02:00,SELL,2329.38
676,2024.06.24 12:16:00,BUY,2328.65
689,2024.06.24 12:29:00,SELL,2327.49
704,2024.06.24 12:44:00,BUY,2326.95
777,2024.06.24 13:57:00,SELL,2325.07
812,2024.06.24 14:32:00,BUY,2325.98
841,2024.06.24 15:01:00,SELL,2324.76
871,2024.06.24 15:31:00,BUY,2326.47
883,2024.06.24 15:43:00,SELL,2324.54
894,2024.06.24 15:54:00,BUY,2327.12
948,2024.06.24 16:48:00,SELL,2329.50
994,2024.06.24 17:34:00,BUY,2331.52
1018,2024.06.24 17:58:00,SELL,2330.55
1091,2024.06.24 19:11:00,BUY,2329.16
1192,2024.06.24 20:52:00,SELL,2331.43
1202,2024.06.24 21:02:00,BUY,2332.74
1261,2024.06.24 22:01:00,SELL,2332.73
1297,2024.06.24 22:37:00,BUY,2332.79
1315,2024.06.24 22:55:00,SELL,2331.65
1322,2024.06.24 23:02:00,BUY,2332.29
1364,2024.06.24 23:44:00,SELL,2332.50
1371,2024.06.24 23:51:00,BUY,2333.43
1396,2024.06.25 01:17:00,SELL,2333.03
1473,2024.06.25 02:34:00,BUY,2331.12
1490,2024.06.25 02:51:00,SELL,2330.67
1520,2024.06.25 03:21:00,BUY,2330.17
1527,2024.06.25 03:28:00,SELL,2329.32
1541,2024.06.25 03:42:00,BUY,2329.04
1569,2024.06.25 04:10:00,SELL,2328.64
1619,2024.06.25 05:00:00,BUY,2326.03
1727,2024.06.25 06:48:00,SELL,2326.78
1749,2024.06.25 07:10:00,BUY,2325.71
1837,2024.06.25 08:38:00,SELL,2327.17
1896,2024.06.25 09:37:00,BUY,2325.74
1957,2024.06.25 10:38:00,SELL,2326.19
1966,2024.06.25 10:47:00,BUY,2325.63
1983,2024.06.25 11:04:00,SELL,2323.46
1988,2024.06.25 11:09:00,BUY,2325.91
2133,2024.06.25 13:34:00,SELL,2334.82
2145,2024.06.25 13:46:00,BUY,2336.38
2161,2024.06.25 14:02:00,SELL,2334.04
2209,2024.06.25 14:50:00,BUY,2329.94
2236,2024.06.25 15:17:00,SELL,2328.14
2249,2024.06.25 15:30:00,BUY,2327.69
2251,2024.06.25 15:32:00,SELL,2327.37
2296,2024.06.25 16:17:00,BUY,2326.13
2308,2024.06.25 16:29:00,SELL,2324.19
2330,2024.06.25 16:51:00,BUY,2325.78
2345,2024.06.25 17:06:00,SELL,2324.02
2360,2024.06.25 17:21:00,BUY,2326.12
2367,2024.06.25 17:28:00,SELL,2324.33
2400,2024.06.25 18:01:00,BUY,2327.09
2414,2024.06.25 18:15:00,SELL,2323.83
2445,2024.06.25 18:46:00,BUY,2322.02
2473,2024.06.25 19:14:00,SELL,2323.22
2547,2024.06.25 20:28:00,BUY,2318.83
2583,2024.06.25 21:04:00,SELL,2317.97
2600,2024.06.25 21:21:00,BUY,2318.69
2628,2024.06.25 21:49:00,SELL,2318.40
2641,2024.06.25 22:02:00,BUY,2319.37
2681,2024.06.25 22:42:00,SELL,2319.38
2737,2024.06.25 23:38:00,BUY,2319.07
2773,2024.06.26 01:15:00,SELL,2319.55
2782,2024.06.26 01:24:00,BUY,2320.88
2799,2024.06.26 01:41:00,SELL,2320.00
2814,2024.06.26 01:56:00,BUY,2319.86
2834,2024.06.26 02:16:00,SELL,2319.88
2868,2024.06.26 02:50:00,BUY,2319.69
2879,2024.06.26 03:01:00,SELL,2319.46
2893,2024.06.26 03:15:00,BUY,2320.91
2911,2024.06.26 03:33:00,SELL,2319.51
2952,2024.06.26 04:14:00,BUY,2320.25
2974,2024.06.26 04:36:00,SELL,2317.27
3005,2024.06.26 05:07:00,BUY,2314.75
3055,2024.06.26 05:57:00,SELL,2319.37
3075,2024.06.26 06:17:00,BUY,2320.30
3097,2024.06.26 06:39:00,SELL,2318.61
3146,2024.06.26 07:28:00,BUY,2317.20
3151,2024.06.26 07:33:00,SELL,2316.15
3159,2024.06.26 07:41:00,BUY,2316.55
3214,2024.06.26 08:36:00,SELL,2315.54
3268,2024.06.26 09:30:00,BUY,2312.85
3312,2024.06.26 10:14:00,SELL,2314.17
3323,2024.06.26 10:25:00,BUY,2316.06
3349,2024.06.26 10:51:00,SELL,2314.06
3358,2024.06.26 11:00:00,BUY,2315.19
3376,2024.06.26 11:18:00,SELL,2313.26
3379,2024.06.26 11:21:00,BUY,2314.46
3479,2024.06.26 13:01:00,SELL,2315.54
3518,2024.06.26 13:40:00,BUY,2310.26
3534,2024.06.26 13:56:00,SELL,2308.24
3545,2024.06.26 14:07:00,BUY,2307.62
3564,2024.06.26 14:26:00,SELL,2304.75
3575,2024.06.26 14:37:00,BUY,2307.44
3645,2024.06.26 15:47:00,SELL,2313.99
3719,2024.06.26 17:01:00,BUY,2299.34
3746,2024.06.26 17:28:00,SELL,2297.46
3774,2024.06.26 17:56:00,BUY,2299.54
3815,2024.06.26 18:37:00,SELL,2299.24
3844,2024.06.26 19:06:00,BUY,2301.38
3876,2024.06.26 19:38:00,SELL,2299.43
3903,2024.06.26 20:05:00,BUY,2300.11
3969,2024.06.26 21:11:00,SELL,2300.53
4056,2024.06.26 22:38:00,BUY,2298.05
4068,2024.06.26 22:50:00,SELL,2298.27
4073,2024.06.26 22:55:00,BUY,2299.26
4099,2024.06.26 23:21:00,SELL,2297.78
4130,2024.06.26 23:52:00,BUY,2297.81
4176,2024.06.27 01:39:00,SELL,2298.30
4204,2024.06.27 02:07:00,BUY,2298.50
4218,2024.06.27 02:21:00,SELL,2297.88
4235,2024.06.27 02:38:00,BUY,2298.18
4246,2024.06.27 02:49:00,SELL,2298.08
4253,2024.06.27 02:56:00,BUY,2298.23
4306,2024.06.27 03:49:00,SELL,2298.21
4318,2024.06.27 04:01:00,BUY,2298.92
4360,2024.06.27 04:43:00,SELL,2297.55
4383,2024.06.27 05:06:00,BUY,2298.76
4460,2024.06.27 06:23:00,SELL,2298.73
4494,2024.06.27 06:57:00,BUY,2298.98
4515,2024.06.27 07:18:00,SELL,2299.60
4550,2024.06.27 07:53:00,BUY,2300.23
4564,2024.06.27 08:07:00,SELL,2299.99
4593,2024.06.27 08:36:00,BUY,2299.31
4605,2024.06.27 08:48:00,SELL,2298.15
4623,2024.06.27 09:06:00,BUY,2298.90
4655,2024.06.27 09:38:00,SELL,2300.33
4697,2024.06.27 10:20:00,BUY,2302.04
4712,2024.06.27 10:35:00,SELL,2300.62
4736,2024.06.27 10:59:00,BUY,2302.33
4766,2024.06.27 11:29:00,SELL,2303.55
4776,2024.06.27 11:39:00,BUY,2304.64
4829,2024.06.27 12:32:00,SELL,2310.81
4849,2024.06.27 12:52:00,BUY,2312.41
5007,2024.06.27 15:30:00,SELL,2319.37
5014,2024.06.27 15:37:00,BUY,2319.52
5079,2024.06.27 16:42:00,SELL,2320.42
5096,2024.06.27 16:59:00,BUY,2323.25
5121,2024.06.27 17:24:00,SELL,2324.03
5140,2024.06.27 17:43:00,BUY,2327.75
5184,2024.06.27 18:27:00,SELL,2325.98
5293,2024.06.27 20:16:00,BUY,2326.09
5307,2024.06.27 20:30:00,SELL,2325.50
5388,2024.06.27 21:51:00,BUY,2325.17
5443,2024.06.27 22:46:00,SELL,2325.95
5466,2024.06.27 23:09:00,BUY,2326.47
5486,2024.06.27 23:29:00,SELL,2326.05
5495,2024.06.27 23:38:00,BUY,2326.63
5517,2024.06.28 01:01:00,SELL,2327.30
5565,2024.06.28 01:49:00,BUY,2327.11
5576,2024.06.28 02:00:00,SELL,2326.84
5597,2024.06.28 02:21:00,BUY,2327.37
5621,2024.06.28 02:45:00,SELL,2327.38
5643,2024.06.28 03:07:00,BUY,2327.67
5649,2024.06.28 03:13:00,SELL,2326.91
5773,2024.06.28 05:17:00,BUY,2321.20
5842,2024.06.28 06:26:00,SELL,2322.57
5923,2024.06.28 07:47:00,BUY,2320.65
6033,2024.06.28 09:37:00,SELL,2326.53
6066,2024.06.28 10:10:00,BUY,2327.77
6086,2024.06.28 10:30:00,SELL,2326.26
6100,2024.06.28 10:44:00,BUY,2327.19
6118,2024.06.28 11:02:00,SELL,2326.81
6131,2024.06.28 11:15:00,BUY,2328.22
6167,2024.06.28 11:51:00,SELL,2328.86
6220,2024.06.28 12:44:00,BUY,2328.95
6311,2024.06.28 14:15:00,SELL,2335.45
6358,2024.06.28 15:02:00,BUY,2334.02
6362,2024.06.28 15:06:00,SELL,2333.56
6387,2024.06.28 15:31:00,BUY,2335.00
6438,2024.06.28 16:22:00,SELL,2333.35
6477,2024.06.28 17:01:00,BUY,2330.87
6499,2024.06.28 17:23:00,SELL,2329.65
6560,2024.06.28 18:24:00,BUY,2327.56
6631,2024.06.28 19:35:00,SELL,2330.25
6650,2024.06.28 19:54:00,BUY,2329.76
6679,2024.06.28 20:23:00,SELL,2330.83
6731,2024.06.28 21:15:00,BUY,2328.20
6746,2024.06.28 21:30:00,SELL,2326.62
6783,2024.06.28 22:07:00,BUY,2325.75
6794,2024.06.28 22:18:00,SELL,2324.12
6821,2024.06.28 22:45:00,BUY,2325.22
6838,2024.06.28 23:02:00,SELL,2323.38
6852,2024.06.28 23:16:00,BUY,2325.10
6897,2024.07.01 01:03:00,SELL,2324.96
6906,2024.07.01 01:12:00,BUY,2324.67
6931,2024.07.01 01:37:00,SELL,2324.43
6937,2024.07.01 01:43:00,BUY,2324.72
6951,2024.07.01 01:57:00,SELL,2324.37
6965,2024.07.01 02:11:00,BUY,2325.07
7013,2024.07.01 02:59:00,SELL,2324.91
7051,2024.07.01 03:37:00,BUY,2324.58
7066,2024.07.01 03:52:00,SELL,2323.74
7076,2024.07.01 04:02:00,BUY,2325.12
7118,2024.07.01 04:44:00,SELL,2326.30
7133,2024.07.01 04:59:00,BUY,2327.82
7143,2024.07.01 05:09:00,SELL,2326.68
7182,2024.07.01 05:48:00,BUY,2326.70
7229,2024.07.01 06:35:00,SELL,2325.83
7262,2024.07.01 07:08:00,BUY,2325.81
7279,2024.07.01 07:25:00,SELL,2324.57
7304,2024.07.01 07:50:00,BUY,2323.20
7317,2024.07.01 08:03:00,SELL,2322.45
7373,2024.07.01 08:59:00,BUY,2321.84
7416,2024.07.01 09:42:00,SELL,2326.07
7469,2024.07.01 10:35:00,BUY,2325.09
7486,2024.07.01 10:52:00,SELL,2324.05
7522,2024.07.01 11:28:00,BUY,2324.59
7584,2024.07.01 12:30:00,SELL,2327.47
7603,2024.07.01 12:49:00,BUY,2327.52
7660,2024.07.01 13:46:00,SELL,2330.29
7670,2024.07.01 13:56:00,BUY,2331.99
7745,2024.07.01 15:11:00,SELL,2335.72
7832,2024.07.01 16:38:00,BUY,2329.55
7854,2024.07.01 17:00:00,SELL,2329.41
7913,2024.07.01 17:59:00,BUY,2324.02
7942,2024.07.01 18:28:00,SELL,2326.67
7961,2024.07.01 18:47:00,BUY,2328.04
8010,2024.07.01 19:36:00,SELL,2328.32
8064,2024.07.01 20:30:00,BUY,2329.54
8097,2024.07.01 21:03:00,SELL,2328.01
8128,2024.07.01 21:34:00,BUY,2328.52
8161,2024.07.01 22:07:00,SELL,2329.80
8179,2024.07.01 22:25:00,BUY,2330.55
8191,2024.07.01 22:37:00,SELL,2330.12
8212,2024.07.01 22:58:00,BUY,2331.02
8246,2024.07.01 23:32:00,SELL,2331.68
8274,2024.07.02 01:01:00,BUY,2332.04
8365,2024.07.02 02:33:00,SELL,2332.19
8393,2024.07.02 03:01:00,BUY,2333.50
8409,2024.07.02 03:17:00,SELL,2332.85
8448,2024.07.02 03:56:00,BUY,2333.02
8464,2024.07.02 04:12:00,SELL,2331.73
8488,2024.07.02 04:36:00,BUY,2332.96
8528,2024.07.02 05:16:00,SELL,2332.57
8555,2024.07.02 05:43:00,BUY,2332.66
8579,2024.07.02 06:07:00,SELL,2330.90
8660,2024.07.02 07:28:00,BUY,2326.43
8693,2024.07.02 08:01:00,SELL,2326.87
8703,2024.07.02 08:11:00,BUY,2328.20
8723,2024.07.02 08:31:00,SELL,2327.40
8730,2024.07.02 08:38:00,BUY,2328.74
8769,2024.07.02 09:17:00,SELL,2329.96
8797,2024.07.02 09:45:00,BUY,2330.07
8817,2024.07.02 10:05:00,SELL,2328.78
8854,2024.07.02 10:42:00,BUY,2326.72
8898,2024.07.02 11:26:00,SELL,2329.83
8923,2024.07.02 11:51:00,BUY,2331.54
8955,2024.07.02 12:23:00,SELL,2329.45
9035,2024.07.02 13:43:00,BUY,2325.60
9046,2024.07.02 13:54:00,SELL,2324.63
9086,2024.07.02 14:34:00,BUY,2324.43
9093,2024.07.02 14:41:00,SELL,2321.86
9131,2024.07.02 15:19:00,BUY,2322.42
9233,2024.07.02 17:01:00,SELL,2332.10
9294,2024.07.02 18:02:00,BUY,2327.80
9326,2024.07.02 18:34:00,SELL,2326.65
9380,2024.07.02 19:28:00,BUY,2323.69
9392,2024.07.02 19:40:00,SELL,2322.05
9402,2024.07.02 19:50:00,BUY,2324.14
9435,2024.07.02 20:23:00,SELL,2322.60
9442,2024.07.02 20:30:00,BUY,2324.43
9504,2024.07.02 21:32:00,SELL,2326.35
9518,2024.07.02 21:46:00,BUY,2326.63
9598,2024.07.02 23:06:00,SELL,2329.94
9625,2024.07.02 23:33:00,BUY,2329.80
9639,2024.07.02 23:47:00,SELL,2329.38
9652,2024.07.03 01:01:00,BUY,2330.30
9695,2024.07.03 01:44:00,SELL,2330.12
9712,2024.07.03 02:01:00,BUY,2331.12
9726,2024.07.03 02:15:00,SELL,2330.79
9747,2024.07.03 02:36:00,BUY,2330.27
9755,2024.07.03 02:44:00,SELL,2329.99
9760,2024.07.03 02:49:00,BUY,2330.18
9829,2024.07.03 03:58:00,SELL,2330.61
9835,2024.07.03 04:04:00,BUY,2330.66
9849,2024.07.03 04:18:00,SELL,2329.75
9897,2024.07.03 05:06:00,BUY,2330.47
9908,2024.07.03 05:17:00,SELL,2329.36
9929,2024.07.03 05:38:00,BUY,2329.35
9940,2024.07.03 05:49:00,SELL,2327.43
9950,2024.07.03 05:59:00,BUY,2328.89
10102,2024.07.03 08:31:00,SELL,2333.64
10132,2024.07.03 09:01:00,BUY,2333.77
10223,2024.07.03 10:32:00,SELL,2340.95
10240,2024.07.03 10:49:00,BUY,2343.28
10299,2024.07.03 11:48:00,SELL,2343.97
10305,2024.07.03 11:54:00,BUY,2345.47
10328,2024.07.03 12:17:00,SELL,2344.06
10354,2024.07.03 12:43:00,BUY,2344.12
10380,2024.07.03 13:09:00,SELL,2345.82
10398,2024.07.03 13:27:00,BUY,2346.85
10430,2024.07.03 13:59:00,SELL,2346.94
10460,2024.07.03 14:29:00,BUY,2344.65
10478,2024.07.03 14:47:00,SELL,2343.98
10486,2024.07.03 14:55:00,BUY,2345.37
10538,2024.07.03 15:47:00,SELL,2352.32
10564,2024.07.03 16:13:00,BUY,2352.27
10639,2024.07.03 17:28:00,SELL,2359.26
10655,2024.07.03 17:44:00,BUY,2363.71
10672,2024.07.03 18:01:00,SELL,2361.49
10730,2024.07.03 18:59:00,BUY,2363.00
10736,2024.07.03 19:05:00,SELL,2361.78
10805,2024.07.03 20:14:00,BUY,2356.01
10837,2024.07.03 20:46:00,SELL,2357.20
10856,2024.07.03 21:05:00,BUY,2357.51
10872,2024.07.03 21:21:00,SELL,2356.43
10904,2024.07.03 21:53:00,BUY,2356.81
10914,2024.07.03 22:03:00,SELL,2355.53
10924,2024.07.03 22:13:00,BUY,2356.12
10938,2024.07.03 22:27:00,SELL,2355.20
10977,2024.07.03 23:06:00,BUY,2354.86
10999,2024.07.03 23:28:00,SELL,2354.55
11010,2024.07.03 23:39:00,BUY,2355.00
11093,2024.07.04 02:03:00,SELL,2357.63
11121,2024.07.04 02:32:00,BUY,2358.68
11137,2024.07.04 02:48:00,SELL,2358.97
11175,2024.07.04 03:26:00,BUY,2357.74
11184,2024.07.04 03:35:00,SELL,2357.20
11200,2024.07.04 03:51:00,BUY,2358.35
11228,2024.07.04 04:19:00,SELL,2358.67
11233,2024.07.04 04:24:00,BUY,2360.20
11278,2024.07.04 05:09:00,SELL,2360.13
11319,2024.07.04 05:50:00,BUY,2359.08
11342,2024.07.04 06:13:00,SELL,2358.15
11347,2024.07.04 06:18:00,BUY,2359.14
11382,2024.07.04 06:53:00,SELL,2358.36
11394,2024.07.04 07:05:00,BUY,2358.86
11408,2024.07.04 07:19:00,SELL,2357.95
11423,2024.07.04 07:34:00,BUY,2358.89
11433,2024.07.04 07:44:00,SELL,2358.38
11445,2024.07.04 07:56:00,BUY,2359.00
11451,2024.07.04 08:02:00,SELL,2358.39
11484,2024.07.04 08:35:00,BUY,2356.87
11496,2024.07.04 08:47:00,SELL,2356.05
11506,2024.07.04 08:57:00,BUY,2357.21
11516,2024.07.04 09:07:00,SELL,2355.66
11546,2024.07.04 09:37:00,BUY,2352.74
11577,2024.07.04 10:08:00,SELL,2354.36
11590,2024.07.04 10:21:00,BUY,2355.17
11652,2024.07.04 11:23:00,SELL,2356.94
11654,2024.07.04 11:25:00,BUY,2356.94
11663,2024.07.04 11:34:00,SELL,2355.56
11674,2024.07.04 11:45:00,BUY,2357.23
11691,2024.07.04 12:02:00,SELL,2358.13
11719,2024.07.04 12:30:00,BUY,2356.89
11754,2024.07.04 13:05:00,SELL,2357.15
11770,2024.07.04 13:21:00,BUY,2357.77
11832,2024.07.04 14:23:00,SELL,2358.33
11871,2024.07.04 15:02:00,BUY,2359.12
11889,2024.07.04 15:20:00,SELL,2358.41
11915,2024.07.04 15:46:00,BUY,2358.36
11920,2024.07.04 15:51:00,SELL,2357.55
11937,2024.07.04 16:08:00,BUY,2357.90
11995,2024.07.04 17:06:00,SELL,2358.55
12009,2024.07.04 17:20:00,BUY,2361.08
12028,2024.07.04 17:39:00,SELL,2359.99
12057,2024.07.04 18:08:00,BUY,2359.83
12069,2024.07.04 18:20:00,SELL,2358.63
12167,2024.07.04 19:58:00,BUY,2358.03
12179,2024.07.04 20:10:00,SELL,2357.18
12240,2024.07.04 21:11:00,BUY,2356.53
12276,2024.07.05 01:21:00,SELL,2356.05
12301,2024.07.05 01:46:00,BUY,2356.18
12370,2024.07.05 02:55:00,SELL,2356.64
12386,2024.07.05 03:11:00,BUY,2357.26
12459,2024.07.05 04:24:00,SELL,2358.08
12491,2024.07.05 04:56:00,BUY,2359.07
12552,2024.07.05 05:57:00,SELL,2360.14
12562,2024.07.05 06:07:00,BUY,2361.66
12587,2024.07.05 06:32:00,SELL,2359.81
12612,2024.07.05 06:57:00,BUY,2361.41
12681,2024.07.05 08:06:00,SELL,2363.15
12706,2024.07.05 08:31:00,BUY,2363.62
12764,2024.07.05 09:29:00,SELL,2363.92
12807,2024.07.05 10:12:00,BUY,2364.32
12817,2024.07.05 10:22:00,SELL,2363.22
12831,2024.07.05 10:36:00,BUY,2363.63
12896,2024.07.05 11:41:00,SELL,2366.56
12996,2024.07.05 13:21:00,BUY,2364.06
13019,2024.07.05 13:44:00,SELL,2364.22
13036,2024.07.05 14:01:00,BUY,2365.36
13041,2024.07.05 14:06:00,SELL,2364.19
13065,2024.07.05 14:30:00,BUY,2364.72
13073,2024.07.05 14:38:00,SELL,2363.38
13081,2024.07.05 14:46:00,BUY,2364.18
13126,2024.07.05 15:31:00,SELL,2369.87
13127,2024.07.05 15:32:00,BUY,2373.91
13177,2024.07.05 16:22:00,SELL,2372.99
13188,2024.07.05 16:33:00,BUY,2378.91
13219,2024.07.05 17:04:00,SELL,2377.76
13248,2024.07.05 17:33:00,BUY,2382.08
13276,2024.07.05 18:01:00,SELL,2379.75
13288,2024.07.05 18:13:00,BUY,2382.80
13328,2024.07.05 18:53:00,SELL,2382.64
13340,2024.07.05 19:05:00,BUY,2386.81
13433,2024.07.05 20:38:00,SELL,2386.49
13469,2024.07.05 21:14:00,BUY,2387.40
13488,2024.07.05 21:33:00,SELL,2389.34
13497,2024.07.05 21:42:00,BUY,2392.16
13522,2024.07.05 22:07:00,SELL,2391.55
13614,2024.07.05 23:39:00,BUY,2389.84
13634,2024.07.08 01:01:00,SELL,2386.58
13640,2024.07.08 01:07:00,BUY,2389.65
13663,2024.07.08 01:30:00,SELL,2387.16
13700,2024.07.08 02:07:00,BUY,2385.88
13730,2024.07.08 02:37:00,SELL,2385.75
13734,2024.07.08 02:41:00,BUY,2386.57
13754,2024.07.08 03:01:00,SELL,2384.53
13769,2024.07.08 03:16:00,BUY,2386.09
13805,2024.07.08 03:52:00,SELL,2386.70
13823,2024.07.08 04:10:00,BUY,2389.59
13850,2024.07.08 04:37:00,SELL,2387.87
13955,2024.07.08 06:22:00,BUY,2383.50
13977,2024.07.08 06:44:00,SELL,2382.28
13987,2024.07.08 06:54:00,BUY,2382.34
14078,2024.07.08 08:25:00,SELL,2384.75
14125,2024.07.08 09:12:00,BUY,2383.38
14142,2024.07.08 09:29:00,SELL,2381.68
14186,2024.07.08 10:13:00,BUY,2379.36
14205,2024.07.08 10:32:00,SELL,2379.22
14310,2024.07.08 12:17:00,BUY,2372.96
14331,2024.07.08 12:38:00,SELL,2370.71
14356,2024.07.08 13:03:00,BUY,2371.52
14392,2024.07.08 13:39:00,SELL,2371.45
14408,2024.07.08 13:55:00,BUY,2372.97
14430,2024.07.08 14:17:00,SELL,2372.75
14439,2024.07.08 14:26:00,BUY,2374.12
14503,2024.07.08 15:30:00,SELL,2374.43
14538,2024.07.08 16:05:00,BUY,2373.60
14571,2024.07.08 16:38:00,SELL,2373.07
14592,2024.07.08 16:59:00,BUY,2375.51
14616,2024.07.08 17:23:00,SELL,2375.83
14755,2024.07.08 19:42:00,BUY,2356.47
14802,2024.07.08 20:29:00,SELL,2355.96
14812,2024.07.08 20:39:00,BUY,2358.79
14819,2024.07.08 20:46:00,SELL,2358.14
14889,2024.07.08 21:56:00,BUY,2356.42
14917,2024.07.08 22:24:00,SELL,2356.42
14927,2024.07.08 22:34:00,BUY,2357.98
14969,2024.07.08 23:16:00,SELL,2358.40
14986,2024.07.08 23:33:00,BUY,2358.97
14995,2024.07.08 23:42:00,SELL,2358.95
15021,2024.07.09 01:09:00,BUY,2359.10
15046,2024.07.09 01:34:00,SELL,2359.01
15065,2024.07.09 01:53:00,BUY,2359.35
15157,2024.07.09 03:25:00,SELL,2362.47
15173,2024.07.09 03:41:00,BUY,2362.67
15187,2024.07.09 03:55:00,SELL,2361.81
15194,2024.07.09 04:02:00,BUY,2362.14
15215,2024.07.09 04:23:00,SELL,2362.81
15232,2024.07.09 04:40:00,BUY,2363.83
15253,2024.07.09 05:01:00,SELL,2362.43
15276,2024.07.09 05:24:00,BUY,2363.29
15310,2024.07.09 05:58:00,SELL,2364.05
15316,2024.07.09 06:04:00,BUY,2365.93
15323,2024.07.09 06:11:00,SELL,2363.78
15332,2024.07.09 06:20:00,BUY,2365.31
15336,2024.07.09 06:24:00,SELL,2363.98
15359,2024.07.09 06:47:00,BUY,2366.26
15397,2024.07.09 07:25:00,SELL,2367.39
15428,2024.07.09 07:56:00,BUY,2367.73
15442,2024.07.09 08:10:00,SELL,2366.52
15552,2024.07.09 10:00:00,BUY,2363.78
15561,2024.07.09 10:09:00,SELL,2363.00
15621,2024.07.09 11:09:00,BUY,2360.15
15640,2024.07.09 11:28:00,SELL,2359.83
15656,2024.07.09 11:44:00,BUY,2359.58
15697,2024.07.09 12:25:00,SELL,2363.01
15711,2024.07.09 12:39:00,BUY,2364.12
15761,2024.07.09 13:29:00,SELL,2363.38
15783,2024.07.09 13:51:00,BUY,2364.31
15791,2024.07.09 13:59:00,SELL,2363.06
15843,2024.07.09 14:51:00,BUY,2359.64
15874,2024.07.09 15:22:00,SELL,2358.78
15909,2024.07.09 15:57:00,BUY,2359.20
15920,2024.07.09 16:08:00,SELL,2360.59
15938,2024.07.09 16:26:00,BUY,2363.71
15976,2024.07.09 17:04:00,SELL,2360.76
16071,2024.07.09 18:39:00,BUY,2356.03
16109,2024.07.09 19:17:00,SELL,2359.74
16155,2024.07.09 20:03:00,BUY,2358.81
16290,2024.07.09 22:18:00,SELL,2363.80
16325,2024.07.09 22:53:00,BUY,2363.76
16359,2024.07.09 23:27:00,SELL,2364.03
16377,2024.07.09 23:45:00,BUY,2364.48
16385,2024.07.09 23:53:00,SELL,2363.94
16436,2024.07.10 01:45:00,BUY,2363.61
16457,2024.07.10 02:06:00,SELL,2364.42
16468,2024.07.10 02:17:00,BUY,2365.11
16487,2024.07.10 02:36:00,SELL,2365.18
16515,2024.07.10 03:04:00,BUY,2365.51
16551,2024.07.10 03:40:00,SELL,2365.69
16588,2024.07.10 04:17:00,BUY,2366.53
16632,2024.07.10 05:01:00,SELL,2367.34
16672,2024.07.10 05:41:00,BUY,2368.97
16701,2024.07.10 06:10:00,SELL,2368.17
16715,2024.07.10 06:24:00,BUY,2368.24
16739,2024.07.10 06:48:00,SELL,2366.92
16744,2024.07.10 06:53:00,BUY,2367.70
16770,2024.07.10 07:19:00,SELL,2367.46
16795,2024.07.10 07:44:00,BUY,2367.71
16838,2024.07.10 08:27:00,SELL,2368.05
16845,2024.07.10 08:34:00,BUY,2370.03
16861,2024.07.10 08:50:00,SELL,2368.17
16894,2024.07.10 09:23:00,BUY,2369.46
16977,2024.07.10 10:46:00,SELL,2372.76
17006,2024.07.10 11:15:00,BUY,2372.54
17040,2024.07.10 11:49:00,SELL,2372.53
17086,2024.07.10 12:35:00,BUY,2373.44
17101,2024.07.10 12:50:00,SELL,2372.22
17114,2024.07.10 13:03:00,BUY,2372.61
17155,2024.07.10 13:44:00,SELL,2373.51
17178,2024.07.10 14:07:00,BUY,2373.35
17287,2024.07.10 15:56:00,SELL,2378.70
17307,2024.07.10 16:16:00,BUY,2379.87
17351,2024.07.10 17:00:00,SELL,2382.01
17439,2024.07.10 18:28:00,BUY,2378.62
17496,2024.07.10 19:25:00,SELL,2378.65
17633,2024.07.10 21:42:00,BUY,2371.23
17652,2024.07.10 22:01:00,SELL,2372.00
17669,2024.07.10 22:18:00,BUY,2372.21
17677,2024.07.10 22:26:00,SELL,2370.57
17705,2024.07.10 22:54:00,BUY,2371.78
17738,2024.07.10 23:27:00,SELL,2371.53
17771,2024.07.11 01:01:00,BUY,2371.82
17859,2024.07.11 02:29:00,SELL,2372.43
17880,2024.07.11 02:50:00,BUY,2372.54
17894,2024.07.11 03:04:00,SELL,2372.33
17920,2024.07.11 03:30:00,BUY,2373.04
17970,2024.07.11 04:20:00,SELL,2373.80
17982,2024.07.11 04:32:00,BUY,2375.59
18020,2024.07.11 05:10:00,SELL,2374.90
18041,2024.07.11 05:31:00,BUY,2376.53
18128,2024.07.11 06:58:00,SELL,2378.64
18139,2024.07.11 07:09:00,BUY,2379.71
18206,2024.07.11 08:16:00,SELL,2382.07
18259,2024.07.11 09:09:00,BUY,2382.21
18264,2024.07.11 09:14:00,SELL,2380.85
18300,2024.07.11 09:50:00,BUY,2379.89
